run_id,subject,task,n_classes,mean_accuracy,std_accuracy,chance_level,f1_macro,perm_pvalue,n_train,n_test,timestamp,file
phase3_test_MM05,MM05,11-class,11,0.13333333333333333,0.030903148567228998,0.09090909090909091,0.1383965984671314,,660,165,2026-04-28T02:33:06,../outputs/results/phase3_test_MM05/MM05_11-class.json
phase3_test_MM05,MM05,nasal_v_nonnasal,2,0.6484848484848484,0.030903148567229005,0.5,0.5042478242851223,,660,165,2026-04-28T02:33:10,../outputs/results/phase3_test_MM05/MM05_nasal_v_nonnasal.json
phase3_test_MM05,MM05,bilabial_v_nonbilabial,2,0.6363636363636364,0.019165319152535616,0.5,0.41846804511278196,,660,165,2026-04-28T02:33:12,../outputs/results/phase3_test_MM05/MM05_bilabial_v_nonbilabial.json
phase3_test_MM05,MM05,vowel_v_consonant,2,0.8181818181818181,1.1102230246251565e-16,0.5,0.45,,660,165,2026-04-28T02:33:08,../outputs/results/phase3_test_MM05/MM05_vowel_v_consonant.json
phase3_batch_20260428_024033,MM05,11-class,11,0.13333333333333333,0.030903148567228998,0.09090909090909091,0.1383965984671314,,660,165,2026-04-28T02:40:35,../outputs/results/phase3_batch_20260428_024033/MM05_11-class.json
phase3_batch_20260428_024033,MM05,nasal_v_nonnasal,2,0.6060606060606061,0.06356417261637284,0.5,0.5505217719290894,,660,165,2026-04-28T02:40:37,../outputs/results/phase3_batch_20260428_024033/MM05_nasal_v_nonnasal.json
phase3_batch_20260428_024033,MM05,bilabial_v_nonbilabial,2,0.5636363636363637,0.08265564664839915,0.5,0.5497271073377805,,660,165,2026-04-28T02:40:38,../outputs/results/phase3_batch_20260428_024033/MM05_bilabial_v_nonbilabial.json
phase3_batch_20260428_024033,MM05,vowel_v_consonant,2,0.6606060606060608,0.08865902326259269,0.5,0.578005115089514,,660,165,2026-04-28T02:40:36,../outputs/results/phase3_batch_20260428_024033/MM05_vowel_v_consonant.json
phase4_dl_20260429_065411,MM05,11-class_eegnet,11,0.15757575757575756,0.04453617714151233,0.09090909090909093,0.15236921312725651,,660,165,2026-04-29T06:56:46,../outputs/results/phase4_dl_20260429_065411/MM05_11-class_eegnet.json
phase4_dl_20260429_065411,P02,11-class_eegnet,11,0.1740530303030303,0.042848259825391734,0.09090909090909093,0.17276789053025934,,644,161,2026-04-29T07:33:46,../outputs/results/phase4_dl_20260429_065411/P02_11-class_eegnet.json
phase4_dl_20260429_065411,MM12,11-class_eegnet,11,0.2,0.06324555320336758,0.09090909090909093,0.17215209033390855,,200,50,2026-04-29T07:09:57,../outputs/results/phase4_dl_20260429_065411/MM12_11-class_eegnet.json
phase4_dl_20260429_065411,MM18,11-class_eegnet,11,0.17777777777777776,0.041573970964154904,0.09090909090909093,0.12986769193335768,,360,90,2026-04-29T07:21:26,../outputs/results/phase4_dl_20260429_065411/MM18_11-class_eegnet.json
phase4_dl_20260429_065411,MM20,11-class_eegnet,11,0.1425,0.02273030282830976,0.09090909090909093,0.1393079885058495,,308,77,2026-04-29T07:26:58,../outputs/results/phase4_dl_20260429_065411/MM20_11-class_eegnet.json
phase4_dl_20260429_065411,MM21,11-class_eegnet,11,0.16638176638176638,0.05497468261635018,0.09090909090909093,0.16480201528048416,,528,132,2026-04-29T07:30:25,../outputs/results/phase4_dl_20260429_065411/MM21_11-class_eegnet.json
phase4_dl_20260429_065411,MM19,11-class_eegnet,11,0.14904761904761904,0.04581338465068835,0.09090909090909093,0.13926591085681997,,404,101,2026-04-29T07:24:30,../outputs/results/phase4_dl_20260429_065411/MM19_11-class_eegnet.json
phase4_dl_20260429_065411,MM16,11-class_eegnet,11,0.14110671936758895,0.031011929242581865,0.09090909090909093,0.10882908337453792,,452,113,2026-04-29T07:19:07,../outputs/results/phase4_dl_20260429_065411/MM16_11-class_eegnet.json
phase4_dl_20260429_065411,MM10,11-class_eegnet,11,0.14761904761904762,0.0752475098598606,0.09090909090909093,0.13403453844630314,,436,109,2026-04-29T07:04:38,../outputs/results/phase4_dl_20260429_065411/MM10_11-class_eegnet.json
phase4_dl_20260429_065411,MM15,11-class_eegnet,11,0.25029239766081873,0.10917989267943826,0.09090909090909093,0.1989207063761329,,368,92,2026-04-29T07:16:21,../outputs/results/phase4_dl_20260429_065411/MM15_11-class_eegnet.json
phase4_dl_20260429_065411,MM08,7-class_eegnet,7,0.3142857142857142,0.23054701784590864,0.14285714285714285,0.32494331065759635,,128,32,2026-04-29T06:58:23,../outputs/results/phase4_dl_20260429_065411/MM08_7-class_eegnet.json
phase4_dl_20260429_065411,MM11,11-class_eegnet,11,0.16723646723646723,0.05413555236970552,0.09090909090909093,0.1675714703458009,,524,131,2026-04-29T07:07:57,../outputs/results/phase4_dl_20260429_065411/MM11_11-class_eegnet.json
phase4_dl_20260429_065411,MM14,11-class_eegnet,11,0.10626780626780628,0.04513309709017174,0.09090909090909093,0.10468285922831376,,528,132,2026-04-29T07:13:23,../outputs/results/phase4_dl_20260429_065411/MM14_11-class_eegnet.json
phase4_dl_20260429_065411,MM09,11-class_eegnet,11,0.155,0.04460941604639092,0.09090909090909093,0.15220331987546465,,488,122,2026-04-29T07:01:49,../outputs/results/phase4_dl_20260429_065411/MM09_11-class_eegnet.json
phase3_batch_20260428_121359,P02,bilabial_v_nonbilabial,2,0.6090909090909091,0.04673619255154272,0.5,0.5829530035771555,,644,161,2026-04-28T14:12:28,../outputs/results/phase3_batch_20260428_121359/P02_bilabial_v_nonbilabial.json
phase3_batch_20260428_121359,MM10,vowel_v_consonant,2,0.6705627705627706,0.07550855795814769,0.5,0.5191176470588235,,436,109,2026-04-28T12:43:20,../outputs/results/phase3_batch_20260428_121359/MM10_vowel_v_consonant.json
phase3_batch_20260428_121359,MM20,bilabial_v_nonbilabial,2,0.5691666666666666,0.12924997313560865,0.5,0.5466547725245317,,308,77,2026-04-28T13:51:08,../outputs/results/phase3_batch_20260428_121359/MM20_bilabial_v_nonbilabial.json
phase3_batch_20260428_121359,MM21,vowel_v_consonant,2,0.6743589743589744,0.06927003447256652,0.5,0.5517649846008055,,528,132,2026-04-28T14:01:53,../outputs/results/phase3_batch_20260428_121359/MM21_vowel_v_consonant.json
phase3_batch_20260428_121359,MM09,bilabial_v_nonbilabial,2,0.639,0.033888706739036885,0.5,0.6248252725747834,,488,122,2026-04-28T12:35:49,../outputs/results/phase3_batch_20260428_121359/MM09_bilabial_v_nonbilabial.json
phase3_batch_20260428_121359,MM08,7-class,7,0.19047619047619047,0.18868202624913286,0.14285714285714285,0.1704184704184704,,128,32,2026-04-28T12:23:09,../outputs/results/phase3_batch_20260428_121359/MM08_7-class.json
phase3_batch_20260428_121359,P02,11-class,11,0.16761363636363638,0.036997319536590245,0.09090909090909091,0.15291946965104788,,644,161,2026-04-28T14:12:24,../outputs/results/phase3_batch_20260428_121359/P02_11-class.json
phase3_batch_20260428_121359,P02,vowel_v_consonant,2,0.6465909090909091,0.06859721942175714,0.5,0.5634365634365635,,644,161,2026-04-28T14:12:26,../outputs/results/phase3_batch_20260428_121359/P02_vowel_v_consonant.json
phase3_batch_20260428_121359,MM15,nasal_v_nonnasal,2,0.5853801169590642,0.0800635840473676,0.5,0.5798076923076922,,368,92,2026-04-28T13:17:33,../outputs/results/phase3_batch_20260428_121359/MM15_nasal_v_nonnasal.json
phase3_batch_20260428_121359,MM14,vowel_v_consonant,2,0.6415954415954415,0.15422186896483242,0.5,0.538907469342252,,528,132,2026-04-28T13:09:10,../outputs/results/phase3_batch_20260428_121359/MM14_vowel_v_consonant.json
phase3_batch_20260428_121359,MM09,nasal_v_nonnasal,2,0.6399999999999999,0.062003584125794244,0.5,0.5024100852799407,,488,122,2026-04-28T12:35:48,../outputs/results/phase3_batch_20260428_121359/MM09_nasal_v_nonnasal.json
phase3_batch_20260428_121359,MM15,bilabial_v_nonbilabial,2,0.5350877192982455,0.11123415778349025,0.5,0.5117857583611007,,368,92,2026-04-28T13:17:34,../outputs/results/phase3_batch_20260428_121359/MM15_bilabial_v_nonbilabial.json
phase3_batch_20260428_121359,MM19,vowel_v_consonant,2,0.8019047619047619,0.08375268635485866,0.5,0.6286764705882353,,404,101,2026-04-28T13:43:37,../outputs/results/phase3_batch_20260428_121359/MM19_vowel_v_consonant.json
phase3_batch_20260428_121359,MM21,11-class,11,0.12022792022792021,0.05834963716097049,0.09090909090909091,0.11630512694402363,,528,132,2026-04-28T14:01:52,../outputs/results/phase3_batch_20260428_121359/MM21_11-class.json
phase3_batch_20260428_121359,MM18,11-class,11,0.12222222222222223,0.06478835438717,0.09090909090909091,0.09894234553325462,,360,90,2026-04-28T13:32:54,../outputs/results/phase3_batch_20260428_121359/MM18_11-class.json
phase3_batch_20260428_121359,MM10,bilabial_v_nonbilabial,2,0.7904761904761906,0.08346562838890793,0.5,0.7268170426065163,,436,109,2026-04-28T12:43:21,../outputs/results/phase3_batch_20260428_121359/MM10_bilabial_v_nonbilabial.json
phase3_batch_20260428_121359,MM12,11-class,11,0.24,0.04898979485566356,0.09090909090909091,0.17801390528663255,,200,50,2026-04-28T12:59:38,../outputs/results/phase3_batch_20260428_121359/MM12_11-class.json
phase3_batch_20260428_121359,MM05,11-class,11,0.13333333333333333,0.030903148567228998,0.09090909090909091,0.1383965984671314,,660,165,2026-04-28T12:14:05,../outputs/results/phase3_batch_20260428_121359/MM05_11-class.json
phase3_batch_20260428_121359,MM18,vowel_v_consonant,2,0.6555555555555556,0.1077262190536962,0.5,0.5104404281452887,,360,90,2026-04-28T13:32:55,../outputs/results/phase3_batch_20260428_121359/MM18_vowel_v_consonant.json
